Round,Number,Color,Time
1,19,RED,History
2,28,BLACK,History
3,11,BLACK,History
4,5,RED,History
5,13,BLACK,History
6,3,RED,History
7,11,BLACK,History
8,18,RED,History
9,7,RED,History
10,24,BLACK,History
11,1,RED,History
12,13,BLACK,History
13,35,BLACK,History
14,19,RED,History
15,27,RED,History
16,11,BLACK,History
17,1,RED,History
18,35,BLACK,History
19,30,RED,History
20,20,BLACK,History
21,31,BLACK,History
22,2,BLACK,History
23,12,RED,History
24,27,RED,History
25,25,RED,History
26,23,RED,History
27,23,RED,History
28,24,BLACK,History
29,11,BLACK,History
30,8,BLACK,History
31,31,BLACK,History
32,35,BLACK,History
33,10,BLACK,History
34,20,BLACK,History
35,18,RED,History
36,23,RED,History
37,36,RED,History
38,4,BLACK,History
39,4,BLACK,History
40,36,RED,History
41,2,BLACK,History
42,35,BLACK,History
43,34,RED,History
44,28,BLACK,History
45,36,RED,History
46,32,RED,History
47,26,BLACK,History
48,27,RED,History
49,26,BLACK,History
50,24,BLACK,History
51,6,BLACK,History
52,2,BLACK,History
53,10,BLACK,History
54,35,BLACK,History
55,17,BLACK,History
56,33,BLACK,History
57,33,BLACK,History
58,1,RED,History
59,32,RED,History
60,35,BLACK,History
61,14,RED,History
62,20,BLACK,History
63,34,RED,History
64,24,BLACK,History
65,11,BLACK,History
66,29,BLACK,History
67,23,RED,History
68,14,RED,History
69,18,RED,History
70,6,BLACK,History
71,31,BLACK,History
72,12,RED,History
73,20,BLACK,History
74,28,BLACK,History
75,36,RED,History
76,26,BLACK,History
77,33,BLACK,History
78,16,RED,History
79,33,BLACK,History
80,24,BLACK,History
81,18,RED,History
82,1,RED,History
83,22,BLACK,History
84,18,RED,History
85,10,BLACK,History
86,26,BLACK,History
87,35,BLACK,History
88,2,BLACK,History
89,10,BLACK,History
90,11,BLACK,History
91,29,BLACK,History
92,28,BLACK,History
93,31,BLACK,History
94,34,RED,History
95,33,BLACK,History
96,19,RED,History
97,18,RED,History
98,6,BLACK,History
99,30,RED,History
100,30,RED,History
101,1,RED,History
102,20,BLACK,History
103,3,RED,History
104,12,RED,History
105,19,RED,History
106,35,BLACK,History
107,10,BLACK,History
108,12,RED,History
109,20,BLACK,History
110,11,BLACK,History
111,32,RED,History
112,26,BLACK,History
113,6,BLACK,History
114,33,BLACK,History
115,12,RED,History
116,32,RED,History
117,14,RED,History
118,13,BLACK,History
119,8,BLACK,History
120,35,BLACK,History
121,20,BLACK,History
122,22,BLACK,History
123,0,GREEN,History
124,13,BLACK,History
125,28,BLACK,History
126,12,RED,History
127,30,RED,History
128,18,RED,History
129,4,BLACK,History
130,5,RED,History
131,34,RED,History
132,24,BLACK,History
133,18,RED,History
134,1,RED,History
135,27,RED,History
136,22,BLACK,History
137,27,RED,History
138,9,RED,History
139,6,BLACK,History
140,16,RED,History
141,33,BLACK,History
142,27,RED,History
143,35,BLACK,History
144,13,BLACK,History
145,8,BLACK,History
146,7,RED,History
147,7,RED,History
148,26,BLACK,History
149,2,BLACK,History
150,25,RED,History
151,29,BLACK,History
152,34,RED,History
153,15,BLACK,History
154,20,BLACK,History
155,2,BLACK,History
156,11,BLACK,History
157,28,BLACK,History
158,25,RED,History
159,30,RED,History
160,26,BLACK,History
161,30,RED,History
162,0,GREEN,History
163,29,BLACK,History
164,25,RED,History
165,30,RED,History
166,4,BLACK,History
167,19,RED,History
168,24,BLACK,History
169,19,RED,History
170,0,GREEN,History
171,9,RED,History
172,1,RED,History
173,22,BLACK,History
174,17,BLACK,History
175,23,RED,History
176,2,BLACK,History
177,3,RED,History
178,2,BLACK,History
179,13,BLACK,History
180,27,RED,History
181,34,RED,History
182,1,RED,History
183,22,BLACK,History
184,25,RED,History
185,4,BLACK,History
186,17,BLACK,History
187,31,BLACK,History
188,36,RED,History
189,32,RED,History
190,8,BLACK,History
191,19,RED,History
192,16,RED,History
193,0,GREEN,History
194,5,RED,History
195,28,BLACK,History
196,16,RED,History
197,32,RED,History
198,12,RED,History
199,34,RED,History
200,7,RED,History
201,25,RED,History
202,20,BLACK,History
203,13,BLACK,History
204,34,RED,History
205,13,BLACK,History
206,2,BLACK,History
207,11,BLACK,History
208,20,BLACK,History
209,21,RED,History
210,36,RED,History
211,15,BLACK,History
212,18,RED,History
213,35,BLACK,History
214,35,BLACK,History
215,10,BLACK,History
216,7,RED,History
217,1,RED,History
218,16,RED,History
219,27,RED,History
220,12,RED,History
221,12,RED,History
222,6,BLACK,History
223,1,RED,History
224,12,RED,History
225,16,RED,History
226,17,BLACK,History
227,6,BLACK,History
228,29,BLACK,History
229,36,RED,History
230,23,RED,History
231,20,BLACK,History
232,30,RED,History
233,17,BLACK,History
234,27,RED,History
235,12,RED,History
236,21,RED,History
237,30,RED,History
238,19,RED,History
239,28,BLACK,History
240,23,RED,History
241,29,BLACK,History
242,25,RED,History
243,0,GREEN,History
244,10,BLACK,History
245,24,BLACK,History
246,9,RED,History
247,12,RED,History
248,21,RED,History
249,36,RED,History
250,19,RED,History
251,27,RED,History
252,7,RED,History
253,7,RED,History
254,35,BLACK,History
255,10,BLACK,History
256,25,RED,History
257,20,BLACK,History
258,12,RED,History
259,34,RED,History
260,5,RED,History
261,4,BLACK,History
262,14,RED,History
263,32,RED,History
